Mouser No.,Quantity,Min quantity,Type,Value,Footprint,Mouser link
609-2450AT42E010BE ,1,1,ANT,XDCR_2450AT42E010BE,XDCR_2450AT42E010BE,https://cz.mouser.com/ProductDetail/Johanson-Technology/2450AT42E0100E?qs=EvbCu83THBA04V4752rG%2FA%3D%3D
80-C0402C120K4RACTU,2,2,C,12pF,0402,https://cz.mouser.com/ProductDetail/KEMET/C0402C120K4RACTU?qs=sGAEpiMZZMvsSlwiRhF8qtsGU%2FCnaNeQU4b3T%252B0BGJ98npOMdpBksA%3D%3D
80-C0402C104J4RAC,10,2,C,0u1,0402,https://cz.mouser.com/ProductDetail/KEMET/C0402C104J4RAC?qs=sGAEpiMZZMvsSlwiRhF8quV%252Bc91tkcYMf1F0MOJqTw8%3D
810-C1005C0G1H101J,1,1,C,100p,0402,https://cz.mouser.com/ProductDetail/TDK/C1005C0G1H101J050BA?qs=sGAEpiMZZMvsSlwiRhF8qsDt8B2LujiHj74BBVQowCM%3D
80-CBR04C808C5G,1,1,C,0p8,0402,https://cz.mouser.com/ProductDetail/KEMET/CBR04C808C5GAC?qs=sGAEpiMZZMvsSlwiRhF8qhFOJkVmp0ZHOuzW%2F6If4wg%3D
810-C1608X7R1C105K,10,2,C,1u,0603,https://cz.mouser.com/ProductDetail/TDK/C1608X7R1C105K080AC?qs=sGAEpiMZZMvsSlwiRhF8qsDt8B2LujiHceUgCW2TfnM%3D
80-C0402C105K9P,10,1,C,1u,0402,https://cz.mouser.com/ProductDetail/KEMET/C0402C105K9PACTU?qs=sGAEpiMZZMvsSlwiRhF8qjvAdFQTyyRYaw%252BtCD8rFT4%3D
810-C1608X6S1A475K,1,1,C,4u7,0603,https://cz.mouser.com/ProductDetail/TDK/C1608X6S1A475K080AC?qs=sGAEpiMZZMvsSlwiRhF8qsDt8B2LujiHx1x0ZjfT0jI%3D
604-APTD2012LSURCK,3,3,D,APTD2012LSURCK,0805,https://cz.mouser.com/ProductDetail/Kingbright/APTD2012LSURCK?qs=AQlKX63v8RvkMadNvwbkxw%3D%3D
81-LQG15HN3N9S02D,10,1,L,3n9,0402,https://cz.mouser.com/ProductDetail/Murata-Electronics/LQG15HN3N9S02D?qs=wJtOAfHdpWBH9pu3vTmamg%3D%3D
810-MLF1608E100KTD00,10,1,L,10u,0603,https://cz.mouser.com/ProductDetail/TDK/MLF1608E100KTD00?qs=%2FPzWLGNeQ%252BiUMfl2wnKRvw%3D%3D
81-LQG15HS15NJ02D,10,1,L,15n,0402,https://cz.mouser.com/ProductDetail/Murata-Electronics/LQG15HS15NJ02D?qs=HfwHrtDjQO8wTpQlC0e3%252BA%3D%3D
71-CRCW040210K0FKEDC,5,5,R,10k,0402,https://cz.mouser.com/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWEOKGHr13fuM%3D
603-RC0402FR-7D1KL,10,1,R,1k,0402,https://cz.mouser.com/ProductDetail/YAGEO/RC0402FR-7D1KL?qs=sGAEpiMZZMtlubZbdhIBIAA5Rg%252BBqQHDfu8xhGztGww%3D
949-NRF52810-QCAAER7,1,1,U,nRF52810-QCAA-E-R7,QFN-32 (5x5mm P0.5mm),https://cz.mouser.com/ProductDetail/Nordic-Semiconductor/nRF52810-QCAA-E-R7?qs=Jm2GQyTW%2FbgaBTHFRDp0Bg%3D%3D
771-FXLS8974CFR3,1,1,U,FXLS8974CF,DFN-10 (2x2mm P0.4mm),https://cz.mouser.com/ProductDetail/NXP-Semiconductors/FXLS8974CFR3?qs=QNEnbhJQKva4g7R74%252BwIOg%3D%3D
732-FA12832.F10Z-AJ3,1,1,Y,32MHz (C_L=8pF),2x1.6mm (GND24),https://cz.mouser.com/ProductDetail/Epson-Timing/FA-128-32.0000MF10Z-AJ3?qs=6J2kD0vu%2F2Up2UfUyRhh%2Fg%3D%3D
80-C0603C106M9P7411,10,3,C,10u,0603,https://cz.mouser.com/ProductDetail/KEMET/C0603C106M9PAC7411?qs=LnFVCKo%2FxLn%2FWndKzbwfwQ%3D%3D
576-SMF22A,1,1,D,SMF22A,SOD-123,https://cz.mouser.com/ProductDetail/Littelfuse/SMF22A?qs=IP%252BaFeBnnapCD5oadL%2Fp%2FA%3D%3D
640-USB4105-GF-A ,1,1,J,USB-C REC USB4105,USB4105 16P,https://cz.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D
810-MLZ2012N100LT000,1,1,L,10u,0805,https://cz.mouser.com/ProductDetail/TDK/MLZ2012N100LT000?qs=%2FPzWLGNeQ%252BhBF9df2MjAZQ%3D%3D
603-RC2512JK-079R1L,1,1,R,9R,2512,https://cz.mouser.com/ProductDetail/YAGEO/RC2512JK-079R1L?qs=sGAEpiMZZMtlubZbdhIBIIe0KCL5sPzhZ50DSoMmULc%3D
603-AC0402FR-0776K8L,10,1,R,77k,0402,https://cz.mouser.com/ProductDetail/YAGEO/AC0402FR-0776K8L?qs=sGAEpiMZZMtlubZbdhIBIK4ZiD9DMvaKIlCn73X2Xa4%3D
652-CR0402FX-2202GLF,10,1,R,22k,0402,https://cz.mouser.com/ProductDetail/Bourns/CR0402-FX-2202GLF?qs=sGAEpiMZZMtlubZbdhIBICGkyIRIR3aIrrRXbmyxZuw%3D
